"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009"
"64" 60900 63979 67121 68301 70415 72176 72458 72572 74978 75788 76730 77792 78525 80026 80851 81215 82207 82731 83237 83675 83870 84953 85539 85936 86526 87126 87758 88297 88733 89187 89387 89744 90144 90270 90666 90862 91222 91486 91567 91785 91962 92043 92064 92190 92449 92228 92639 92770 92760 92828 93109 93302 93429 93483 93503 93539 93701 93779 93855 94035
"65" 59268 62321 65557 66648 68861 70688 70881 70973 73504 74321 75184 76396 77027 78634 79494 79839 80884 81408 81940 82400 82658 83750 84374 84819 85453 86090 86769 87376 87854 88336 88523 88928 89333 89521 89901 90128 90529 90811 90911 91150 91329 91437 91450 91568 91872 91625 92070 92177 92219 92281 92584 92802 92928 93027 93032 93067 93261 93349 93405 93613
"66" 57563 60601 63764 64935 67184 69051 69226 69254 71929 72754 73600 74771 75485 77098 78013 78350 79435 80004 80525 81073 81265 82496 83098 83586 84256 84975 85672 86338 86844 87390 87590 88014 88461 88666 89082 89317 89754 90086 90188 90453 90642 90768 90775 90922 91225 90976 91448 91572 91595 91696 92008 92252 92402 92493 92544 92558 92768 92855 92960 93147
"67" 55693 58777 61904 62960 65442 67286 67408 67431 70223 71012 71837 73064 73725 75495 76334 76704 77880 78473 79006 79527 79791 81074 81785 82246 82960 83725 84482 85187 85715 86386 86532 87010 87494 87712 88179 88434 88899 89299 89382 89678 89885 90035 90042 90181 90520 90243 90761 90893 90960 91044 91391 91653 91802 91938 91978 92049 92240 92340 92444 92661
"68" 53734 56785 59953 60932 63431 65380 65391 65401 68458 69121 69915 71203 71853 73630 74619 74805 76138 76809 77352 77856 78140 79506 80290 80816 81494 82318 83141 83908 84476 85209 85414 85913 86457 86679 87164 87449 88016 88405 88496 88804 89053 89220 89238 89383 89761 89483 90029 90190 90245 90309 90695 90997 91177 91313 91384 91427 91683 91777 91879 92109
"69" 51686 54687 57817 58775 61325 63256 63295 63177 66426 67161 67835 69111 69808 71625 72624 72882 74149 74951 75523 76070 76282 77757 78663 79227 79926 80786 81654 82499 83164 83928 84147 84699 85304 85532 86038 86368 86980 87442 87491 87883 88123 88302 88339 88499 88908 88635 89221 89391 89484 89517 89955 90251 90470 90641 90714 90771 91025 91193 91288 91513
"70" 49464 52455 55581 56409 59074 61037 60871 60843 64167 64942 65638 66947 67548 69475 70527 70689 72129 72867 73526 74110 74345 75898 76850 77449 78170 79184 80026 80907 81682 82514 82702 83311 84012 84267 84817 85199 85854 86330 86398 86804 87082 87314 87350 87521 87972 87713 88340 88535 88612 88677 89136 89454 89702 89889 89987 90046 90324 90476 90630 90873
"71" 47255 50085 53244 53864 56696 58626 58408 58176 61825 62572 63237 64612 65106 67160 68241 68355 69833 70706 71304 71964 72197 73896 74838 75471 76244 77298 78241 79138 79981 80903 81107 81789 82581 82865 83467 83868 84589 85133 85203 85660 85923 86217 86266 86436 86945 86670 87385 87596 87690 87716 88248 88566 88842 89038 89179 89250 89545 89718 89874 90191
"72" 44863 47636 50704 51179 54184 56093 55720 55485 59128 60063 60564 62022 62566 64667 65727 65847 67398 68231 68990 69523 69809 71752 72703 73311 74094 75285 76258 77306 78086 79071 79321 80088 80954 81280 82000 82385 83205 83809 83852 84377 84663 84976 85034 85237 85803 85503 86304 86560 86665 86675 87257 87620 87905 88110 88297 88357 88696 88880 89055 89393
"73" 42398 45071 48178 48340 51562 53439 52913 52560 56378 57237 57772 59185 59731 62066 62938 63117 64737 65628 66345 67040 67139 69341 70326 71009 71779 72987 74089 75219 75975 77077 77317 78225 79187 79540 80307 80814 81647 82322 82373 82959 83223 83601 83660 83911 84560 84244 85109 85414 85526 85555 86210 86563 86879 87103 87304 87344 87745 87953 88124 88529
"74" 39808 42461 45406 45527 48760 50642 50014 49519 53461 54348 54658 56293 56592 59149 60100 60152 61851 62748 63548 64215 64371 66559 67792 68435 69250 70518 71636 72908 73738 75000 75122 76089 77203 77584 78432 79024 79941 80681 80766 81387 81647 82059 82204 82390 83132 82799 83776 84123 84285 84318 85005 85417 85754 85980 86207 86251 86688 86932 87098 87555
"75" 37096 39730 42586 42531 45985 47672 46934 46328 50397 51296 51518 53039 53473 55999 56958 57026 58803 59767 60570 61235 61279 63716 64939 65578 66465 67824 68988 70352 71292 72586 72770 73742 74987 75410 76374 77001 78001 78889 78927 79644 79859 80362 80526 80749 81540 81220 82264 82689 82894 82929 83689 84150 84534 84760 85047 85026 85506 85781 85974 86516
"76" 34365 36752 39655 39500 42998 44725 43747 43011 47249 48068 48155 49662 49894 52797 53599 53673 55711 56513 57289 58013 58023 60619 61995 62481 63473 64867 66161 67525 68531 70026 70103 71227 72496 72959 74084 74751 75872 76825 76902 77714 77910 78448 78659 78904 79835 79419 80589 81098 81331 81379 82260 82729 83170 83408 83714 83696 84184 84514 84707 85329
"77" 31602 33888 36677 36336 39993 41569 40519 39599 43950 44759 44666 46128 46283 49166 50214 50062 52218 53121 53849 54584 54562 57292 58651 59294 60124 61767 62987 64479 65472 67127 67241 68438 69869 70284 71500 72272 73501 74556 74619 75598 75787 76360 76577 76863 77875 77492 78700 79336 79578 79642 80606 81177 81643 81917 82253 82200 82772 83106 83337 83974
"78" 28907 31070 33741 33163 36915 38435 37152 36283 40532 41385 41118 42481 42511 45628 46423 46320 48573 49502 50338 51030 50943 53755 55203 55707 56697 58213 59573 61194 62283 63973 64064 65418 66931 67499 68673 69496 70870 72051 72030 73168 73400 74034 74266 74556 75725 75307 76677 77322 77643 77679 78794 79411 79949 80238 80628 80578 81188 81555 81780 82486
"79" 26156 28241 30654 29969 33752 35172 33858 32780 37179 37865 37453 38804 38758 41852 42613 42305 44820 45750 46461 47430 47123 50071 51513 51952 52876 54651 55827 57727 58821 60579 60645 62016 63746 64330 65678 66458 67931 69267 69215 70498 70736 71546 71743 72054 73319 72938 74434 75154 75496 75522 76747 77463 78060 78400 78844 78784 79422 79796 80067 80806
"80" 23553 25401 27709 26763 30594 31927 30493 29417 33720 34432 33747 35077 34891 38010 38750 38331 40839 41934 42481 43585 43323 46213 47633 48051 48953 50753 52097 53917 55128 56938 57045 58385 60279 60888 62313 63237 64674 66172 66071 67538 67795 68629 68998 69287 70657 70271 71934 72690 73138 73104 74521 75251 75960 76324 76843 76799 77478 77899 78121 79005
"81" 20773 22599 24642 23630 27524 28656 27090 26014 30299 30843 30205 31331 31021 34161 34895 34239 37042 37860 38527 39615 39327 42292 43659 43950 44801 46622 47893 50086 51178 53153 53022 54538 56513 57116 58685 59673 61197 62772 62700 64248 64513 65498 65869 66299 67773 67405 69185 70074 70559 70542 72006 72857 73599 74034 74585 74568 75299 75766 76027 76893
"82" 18148 19882 21804 20511 24416 25440 23831 22664 26867 27395 26578 27675 27231 30356 31025 30273 33049 34004 34419 35665 35322 38128 39714 39705 40645 42347 43617 45777 47183 49099 49034 50467 52497 53157 54794 55816 57466 59132 58871 60687 60968 62038 62493 62939 64592 64244 66267 67139 67704 67701 69326 70170 71021 71453 72112 72077 72865 73411 73659 74630
"83" 15587 17257 19003 17692 21359 22414 20716 19575 23631 23981 23181 24074 23674 26664 27282 26376 29167 30061 30578 31589 31304 34120 35766 35532 36328 38088 39326 41548 42865 44965 44696 46314 48286 48933 50682 51741 53442 55235 54883 56672 57191 58307 58855 59329 61087 60776 63020 63963 64573 64641 66366 67384 68148 68632 69373 69286 70186 70805 71028 72091
"84" 13254 14650 16381 15076 18545 19399 17718 16647 20507 20693 19847 20571 20183 23147 23639 22590 25297 26212 26658 27878 27329 30103 31668 31291 32122 33748 35020 37303 38494 40519 40445 41939 44199 44568 46362 47496 49220 51069 50679 52583 52995 54319 54887 55398 57315 57051 59494 60495 61182 61214 63185 64241 65175 65512 66374 66240 67230 67879 68152 69310
"85" 11054 12254 13868 12625 15835 16633 14852 13845 17557 17728 16745 17436 16995 19752 20256 19137 21694 22555 22848 24040 23698 26141 27729 27190 27951 29491 30777 33007 34099 36173 35920 37629 39768 40218 41888 43094 44816 46749 46213 48327 48697 50034 50701 51261 53228 53074 55678 56804 57514 57571 59730 60852 61885 62262 63062 62880 63995 64674 64942 66212
"86" 9081 10188 11546 10321 13357 13984 12400 11311 14840 14931 13984 14525 14049 16599 17035 16023 18322 19100 19335 20421 20059 22472 23846 23331 23927 25458 26578 28695 29918 31827 31539 33011 35458 35716 37524 38620 40337 42187 41715 43920 44144 45648 46177 46969 48936 48849 51627 52746 53675 53605 55998 57187 58308 58682 59608 59256 60466 61141 61435 62825
"87" 7302 8244 9456 8290 11020 11583 10139 9076 12225 12363 11464 11864 11399 13684 14081 13053 15277 15897 16086 17103 16629 18967 20346 19584 20187 21559 22450 24629 25818 27699 27253 28605 30963 31383 33081 34149 35710 37673 37126 39391 39558 41133 41683 42384 44518 44442 47336 48530 49542 49442 51989 53292 54493 54841 55845 55581 56628 57382 57665 59139
"88" 5759 6567 7645 6519 8937 9465 8134 7141 10040 9973 9217 9558 9063 11072 11430 10479 12448 13031 13064 14030 13583 15740 16959 16313 16689 17962 18741 20720 21828 23637 23176 24409 26750 26953 28757 29719 31352 33170 32504 34773 34922 36494 37115 37870 39813 39897 42913 44069 45185 45069 47766 49097 50411 50770 51847 51535 52707 53295 53621 55149
"89" 4440 5186 5982 4977 7149 7540 6329 5490 8071 8004 7172 7510 7041 8803 9191 8214 9953 10403 10457 11226 10963 12847 13815 13193 13611 14655 15329 17108 18204 19889 19279 20554 22696 22861 24464 25521 26968 28814 27908 30200 30346 31944 32619 33283 35261 35224 38364 39526 40705 40595 43387 44793 46140 46505 47577 47308 48515 49170 49304 50928
"90" 3396 4037 4666 3681 5608 5889 4822 4123 6303 6294 5553 5732 5313 6876 7168 6283 7756 8112 8219 8872 8606 10270 11095 10381 10775 11773 12208 13915 14808 16373 15737 16913 18959 18966 20519 21275 22915 24546 23697 25830 25798 27445 28091 28868 30733 30740 33727 34962 36181 36048 38899 40292 41742 42066 43255 42848 44161 44762 45008 46408
"91" 2487 3087 3523 2736 4230 4605 3599 3040 4808 4842 4136 4324 3904 5256 5503 4693 6027 6245 6288 6834 6593 8044 8703 8041 8275 9177 9617 11071 11803 13282 12527 13730 15555 15478 16881 17451 18915 20670 19670 21794 21627 23090 23776 24475 26330 26359 29378 30367 31712 31386 34384 35788 37220 37558 38758 38340 39600 40249 40445 42039
"92" 1792 2246 2645 1954 3119 3466 2608 2154 3593 3563 3026 3156 2858 3912 4132 3429 4524 4688 4725 5147 4930 6154 6659 6048 6234 6994 7276 8680 9106 10529 9728 10801 12561 12300 13522 14183 15440 16791 16094 17848 17770 19012 19740 20361 22062 22103 25021 26091 27231 26944 29847 31272 32653 33015 34219 33725 35036 35614 35908 37461
"93" 1235 1586 1872 1379 2225 2579 1805 1509 2667 2584 2146 2236 1997 2859 2948 2439 3318 3364 3429 3825 3576 4555 4989 4428 4580 5155 5373 6540 7025 8094 7377 8308 9860 9551 10654 11179 12315 13635 12723 14529 14250 15495 16001 16655 18213 18152 21002 21882 23078 22647 25511 26899 28135 28557 29770 29273 30488 31117 31336 32879
"94" 866 1104 1298 919 1614 1842 1259 1014 1925 1772 1503 1518 1388 2069 2122 1680 2350 2416 2419 2757 2515 3339 3646 3211 3279 3744 3944 4840 5202 6146 5449 6251 7499 7270 8202 8611 9603 10696 9951 11418 11206 12290 12840 13218 14611 14596 17220 18020 19220 18740 21322 22659 23892 24212 25403 24865 26070 26679 26869 28282
"95" 571 721 885 621 1092 1267 853 668 1316 1252 980 1016 922 1431 1447 1140 1605 1680 1704 1936 1781 2383 2609 2202 2281 2603 2803 3494 3716 4515 4009 4533 5602 5379 6070 6524 7282 8204 7510 8785 8546 9568 9913 10361 11481 11492 13880 14532 15561 15151 17600 18648 19957 20101 21291 20732 21858 22452 22611 23929
"96" 371 475 593 399 734 866 558 425 897 846 643 667 596 963 973 747 1078 1127 1142 1312 1194 1647 1804 1486 1535 1775 1910 2434 2601 3219 2793 3203 4068 3850 4409 4743 5361 6111 5510 6564 6328 7178 7482 7839 8776 8789 10864 11419 12343 11934 14155 15093 16288 16392 17477 16931 17973 18507 18637 19875
"97" 235 305 387 248 479 576 354 262 595 557 409 426 373 631 636 475 704 734 742 863 776 1106 1212 972 1001 1173 1260 1645 1766 2228 1885 2194 2871 2672 3108 3346 3833 4423 3922 4764 4545 5228 5485 5760 6518 6530 8279 8736 9542 9150 11106 11923 12985 13053 14019 13501 14439 14908 15010 16142
"98" 144 190 246 150 304 373 218 157 384 356 252 263 227 401 404 293 445 463 468 551 489 721 789 616 631 751 805 1077 1162 1495 1231 1455 1966 1797 2124 2287 2656 3106 2704 3353 3161 3691 3900 4103 4696 4706 6131 6496 7176 6816 8485 9175 10093 10132 10966 10491 11311 11712 11788 12795
"99" 86 115 152 88 187 235 130 91 241 221 151 158 134 248 249 175 274 284 286 341 299 456 499 378 385 465 498 683 740 972 777 933 1305 1168 1405 1512 1783 2113 1803 2285 2125 2522 2684 2829 3275 3283 4405 4685 5240 4924 6300 6864 7634 7650 8350 7929 8624 8955 9009 9878
"100" 50 67 91 50 112 144 76 51 147 134 88 92 76 148 149 102 163 168 169 205 177 280 305 224 227 279 297 419 455 612 474 579 838 734 899 967 1157 1391 1162 1506 1380 1665 1786 1886 2209 2214 3065 3272 3708 3443 4539 4983 5608 5608 6177 5817 6387 6652 6688 7413
"101" 28 38 53 28 65 86 43 28 87 78 49 52 42 86 86 57 94 97 97 119 101 167 181 129 130 162 172 248 271 373 279 347 521 446 556 597 726 885 722 959 864 1061 1148 1213 1438 1442 2062 2210 2540 2327 3167 3505 3995 3985 4432 4135 4586 4791 4813 5398
"102" 15 21 30 15 37 49 23 15 50 45 27 29 23 49 49 31 53 54 54 67 56 96 104 72 72 91 96 142 156 219 158 200 314 261 332 356 440 544 433 590 522 652 712 753 903 906 1340 1441 1682 1518 2137 2385 2755 2740 3078 2844 3187 3340 3352 3807
"103" 8 11 16 8 20 28 12 8 28 25 14 15 12 27 26 17 29 29 29 37 30 54 58 38 38 49 52 79 87 125 87 112 182 148 191 204 257 323 251 350 304 386 426 450 547 548 841 907 1075 955 1393 1568 1837 1821 2067 1889 2141 2251 2256 2596
"104" 4 6 9 4 11 15 6 4 15 13 7 8 6 14 14 8 15 15 15 19 16 29 31 20 20 26 27 42 47 69 46 60 102 81 107 113 145 185 140 200 170 221 245 260 319 320 508 550 663 579 876 994 1183 1168 1341 1211 1388 1464 1465 1709
"105" 2 3 5 2 5 8 3 2 8 7 4 4 3 7 7 4 8 8 8 10 8 15 16 10 10 13 14 22 24 37 24 31 56 43 57 61 79 102 75 110 92 121 136 144 179 179 296 321 394 338 531 608 735 722 838 748 868 918 918 1086
"106" 1 2 2 1 3 4 2 1 4 4 2 2 1 4 4 2 4 4 4 5 4 8 8 5 5 6 7 11 12 19 12 16 29 22 30 31 42 55 39 59 48 64 73 77 97 97 166 181 226 190 310 358 440 430 506 445 523 555 553 665
"107" 0 1 1 0 1 2 1 0 2 2 1 1 1 2 2 1 2 2 2 2 2 4 4 2 2 3 3 5 6 9 6 8 15 11 15 16 21 28 20 30 24 33 38 40 51 51 90 98 124 103 175 203 254 247 294 255 303 323 321 392
"108" 0 0 1 0 1 1 0 0 1 1 0 0 0 1 1 0 1 1 1 1 1 2 2 1 1 1 1 3 3 5 3 4 7 5 7 8 10 14 10 15 12 16 19 20 25 25 47 51 66 54 95 111 141 137 164 141 170 181 180 222
"109" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 2 1 2 4 2 3 4 5 7 4 7 6 8 9 10 12 12 24 26 34 27 50 59 76 73 89 75 91 98 97 122
"110" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 2 1 2 2 2 3 2 3 3 4 4 4 6 6 12 13 17 13 25 30 39 38 46 38 47 51 50 64
