"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009"
"16" 89807 90387 91924 92325 93050 93947 94091 94298 94961 95264 95766 96170 96441 96925 97233 97436 97696 97711 97954 98048 98147 98223 98343 98379 98490 98607 98690 98747 98823 98898 98937 98975 99047 99072 99123 99172 99217 99248 99253 99278 99290 99293 99299 99293 99343 99311 99399 99402 99397 99451 99489 99510 99508 99509 99560 99564 99563 99584 99583 99619
"17" 89619 90243 91808 92226 92958 93873 94010 94214 94889 95200 95704 96116 96401 96880 97193 97398 97655 97669 97911 98012 98110 98191 98311 98346 98455 98581 98665 98721 98796 98873 98913 98952 99026 99047 99103 99147 99196 99227 99231 99258 99270 99271 99277 99276 99326 99290 99380 99387 99379 99432 99472 99492 99493 99492 99543 99551 99550 99568 99568 99606
"18" 89398 90083 91675 92107 92845 93775 93921 94121 94804 95119 95630 96045 96348 96831 97145 97353 97612 97629 97872 97971 98067 98151 98272 98308 98422 98548 98635 98693 98768 98842 98883 98923 98999 99017 99078 99126 99173 99209 99208 99235 99245 99251 99258 99257 99306 99266 99363 99368 99356 99412 99455 99473 99472 99474 99524 99535 99532 99551 99550 99589
"19" 89131 89881 91516 91966 92716 93656 93809 94011 94701 95023 95540 95964 96277 96771 97097 97298 97561 97581 97828 97927 98020 98112 98228 98266 98387 98512 98601 98661 98733 98812 98853 98890 98969 98988 99051 99101 99147 99183 99179 99205 99219 99226 99229 99234 99284 99245 99340 99341 99331 99388 99431 99454 99452 99448 99502 99513 99512 99535 99531 99572
"20" 88829 89651 91328 91804 92561 93513 93677 93875 94581 94905 95433 95868 96200 96700 97035 97248 97500 97528 97772 97872 97967 98061 98178 98219 98340 98471 98562 98624 98697 98781 98822 98864 98937 98959 99020 99070 99115 99152 99150 99175 99187 99200 99201 99205 99258 99218 99314 99319 99305 99362 99409 99431 99428 99423 99478 99487 99485 99511 99504 99550
"21" 88511 89393 91120 91612 92391 93359 93530 93729 94443 94794 95316 95762 96109 96621 96961 97186 97441 97467 97710 97811 97904 98002 98124 98166 98293 98416 98518 98585 98656 98741 98786 98830 98903 98927 98988 99039 99083 99121 99119 99142 99159 99173 99172 99177 99229 99188 99289 99290 99275 99338 99384 99406 99405 99401 99451 99462 99459 99485 99479 99522
"22" 88136 89134 90894 91406 92187 93186 93365 93576 94297 94658 95198 95651 96011 96533 96884 97108 97368 97407 97649 97749 97839 97943 98065 98110 98239 98369 98477 98543 98617 98702 98749 98799 98870 98891 98954 99010 99047 99087 99090 99114 99130 99143 99146 99148 99198 99157 99262 99265 99248 99306 99358 99380 99378 99377 99428 99437 99432 99456 99452 99496
"23" 87732 88840 90661 91190 91991 93002 93199 93403 94136 94521 95060 95541 95902 96440 96799 97030 97287 97337 97586 97674 97773 97878 98004 98051 98186 98316 98426 98501 98577 98663 98712 98766 98837 98854 98919 98979 99015 99057 99065 99083 99097 99114 99117 99124 99170 99125 99235 99238 99221 99277 99330 99352 99353 99349 99401 99404 99402 99428 99427 99467
"24" 87301 88521 90396 90964 91774 92814 93010 93222 93972 94374 94925 95414 95795 96339 96706 96945 97203 97255 97515 97606 97698 97809 97937 97986 98122 98261 98373 98454 98535 98625 98677 98730 98801 98817 98883 98947 98981 99024 99030 99054 99065 99085 99087 99095 99142 99096 99209 99214 99191 99250 99301 99324 99326 99325 99370 99372 99375 99399 99395 99437
"25" 86862 88177 90131 90726 91544 92613 92826 93031 93804 94219 94784 95291 95675 96237 96611 96856 97115 97175 97434 97531 97634 97742 97870 97918 98060 98203 98320 98409 98490 98580 98639 98689 98767 98777 98848 98910 98946 98989 98995 99024 99034 99056 99056 99069 99116 99068 99181 99187 99162 99220 99269 99298 99298 99296 99345 99338 99342 99372 99368 99410
"26" 86433 87840 89853 90484 91316 92419 92636 92845 93635 94070 94642 95157 95558 96125 96515 96761 97027 97091 97350 97451 97556 97675 97794 97854 97998 98139 98265 98359 98441 98536 98598 98648 98732 98735 98809 98875 98909 98953 98962 98991 99001 99027 99026 99040 99086 99040 99155 99160 99133 99189 99241 99270 99274 99265 99317 99308 99311 99341 99334 99379
