"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000"
"11" 423415.68 425978.21 424074.12 386115.96 369126.52 367357.11 358300.7 357675.48 423010.88 431905.25 429936.38 413144.93 399573.84 386224.8 376938.76 379218.49 384667.26 390755.62 390804.69 389536.12 393334.67 409221.81 434851.73 427502.99 433358.88 448364.77 465985.7 465854.55 459845.68 448334.57 444435.68 442391.07 435566.25 438110.59 428722.96 427729.58 420718.93 403170.88 381804.22 360492.06 342014.76 321270.65 305367.91 302512.46 296036.7 288532.98 282328.79 277653.63 268896.64 265725.45 273240.59
"12" 400088.66 423084.92 424756.84 421574.46 384845.37 369262.59 366012.54 357513.38 356879.38 421739.01 430891.39 429063.87 412415.44 398609.44 383986.15 374605.55 377062.74 382957.95 389235.86 390154.96 388889.37 392620.58 409246.03 433202.34 427502.6 433983.73 448876.06 466963.38 466810.65 461019.89 449674.11 445923.19 444823.14 435791.65 438462.09 429364.33 429895.3 421860.84 404122.23 382600.68 361183.57 342304.06 321333.82 306604.47 303513.38 297116.19 289417.89 283076.3 278402.54 269485.62 265983.27
"13" 392342.85 399918.08 421824.2 422280.67 419093.07 385121 367544.54 364665.97 356698.58 356130.29 420445.13 429903.54 428104.83 410285.97 397652.04 381802.51 372290.34 374904.99 381244.64 387698.11 389497.22 388199.63 392077.53 409131.49 431548.94 427527.21 434618.57 449381.36 467941.06 467770.74 462175.11 450996.91 448065.01 444913.8 436014.05 438811.59 430007.7 432060.03 423001.76 405061.57 383407.13 361859.08 342629.88 322444.09 307848.03 304526.31 298186.67 290281.79 283829.81 279138.45 270067.6
"14" 404892.13 392210.49 398743.06 419113.34 419830.87 418697.97 383848.88 365854 363303.41 355896.77 355370.19 419161.26 428586.05 426848.47 408136.5 396708.64 379595.86 369944.13 372758.23 379499.33 386144.35 388829.48 387690.13 392336.76 409025.96 429909.54 427519.82 435248.42 449863.65 468884.75 468736.84 463292.75 453011.2 448269.9 444991.46 436232.44 439137.1 430625.08 434227.76 424142.68 405991.92 384194.59 362456.79 343132.01 323555.35 309081.59 305527.24 299248.16 291144.69 284571.32 279876.35
"15" 399386.04 404362.49 391667.56 396048.11 416420.75 419457.75 416203.55 382568.26 364110.96 361953.85 355096.97 354639.09 417632.06 426162.16 425566.12 406022.02 395758.23 377390.22 367596.92 370564.48 377735.01 384573.6 388347.17 387770.37 392583.99 408902.43 428254.14 427519.43 435839.26 450357.95 469826.43 469650.37 465610.01 453021.77 448452.78 445069.13 436432.84 439464.6 431258.45 436368.48 425273.59 406910.26 384865.51 362726 343637.14 324653.61 310317.15 306514.17 300316.65 292014.59 285300.83
"16" 396067.09 399176.9 403370.82 388906.44 393357.3 415798.34 417013.2 413707.13 381261.68 362384.91 360586.29 354312.16 353547.8 415253.98 423662.26 424320.77 403904.55 394812.83 375170.58 365234.71 368381.72 375982.7 383375.47 388590.09 387862.6 392822.22 408735.89 426587.74 427506.04 436449.11 450845.24 470752.73 471842.84 465532.58 453050.35 448613.67 445138.79 436633.24 439798.11 431887.82 438510.21 426364.51 407694.11 385104.07 362988.22 344152.26 325750.88 311525.71 307515.09 301362.14 292874.5
"17" 394391.96 395313.93 398546.82 400105.52 386142.51 392638.23 413103.76 414566.66 411176.69 379980.58 360662.87 359246.73 353297.58 351215.7 412852.91 421190.36 423061.42 401770.08 393886.43 372949.93 362872.49 366179.97 374649.78 383747.44 388847 387966.84 393052.45 408609.36 424922.34 427487.65 437052.95 451310.34 473404.49 471879.93 465447.15 453088.92 448771.56 445219.45 436811.63 440088.61 432517.2 440651.94 427235.41 407953.39 385333.64 363252.44 344652.39 326842.14 312744.27 308504.02 302407.63
"18" 404013.99 393858.33 394289.4 395942.74 396853.71 385320.21 389954.71 410398.69 412077.61 408666.28 378691.47 358939.82 357790.72 351435.69 348857.61 410484.83 418702.46 421766.07 399630.6 392937.03 370719.29 360457.28 364502.12 375145.82 384077.41 389103.91 388041.08 393269.68 408448.83 423247.94 427462.26 437640.69 453965.02 473384.07 471906.03 465353.72 453080.49 448928.45 445300.12 437010.03 440421.12 433118.57 442158.8 427176.74 408227.68 385553.2 363501.65 345121.51 327932.41 313945.83 309481.95
"19" 416999.57 403465.01 393029.52 391651.34 393348.91 395581.73 382560.88 387263.2 407680.12 409618.07 406143.36 377390.36 357275.15 356014.09 349545.8 346503.51 408086.76 416252.56 420488.72 397490.13 391966.62 368487.64 358695.8 365127.51 375669.86 384444.38 389335.82 388115.32 393495.91 408332.3 421580.54 427419.18 440747.84 453958.83 473369.64 471910.13 465254.29 453086.06 449085.34 445360.78 437162.43 440710.62 433690.57 441073.71 427134.07 408480.97 385779.76 363755.87 345591.64 328990.67 315129.39
"20" 398086.49 416389.81 402673.95 390578.53 389018.38 392711.33 392309.29 379840.03 384554.19 404958.04 407147.03 403641.44 376103.14 355745.2 354218.46 347705.91 344146.42 405694.68 413765.66 419201.37 395354.66 391001.22 366822.9 359559.83 365735.9 376194.9 384806.35 389565.73 388220.55 393751.14 408151.76 419884.64 430822.11 440810.29 453962.63 473378.21 471927.22 465173.86 453093.63 449197.23 445423.44 437332.83 441056.48 434222.22 440000.62 427098.41 408722.26 385990.33 363996.09 346055.76 330072.94
