"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000"
"19" 325553 318370 314544 299541 300600 290781 288218 282770 280492 279997 253794 240335 267875 296507 300229 303347 399631 420672 425561 424067 425270 410444 415601 406759 413718 414782 415302 417170 413858 421846 417711 425973 419427 433424 437370 430561 429556 418321 418832 423893 428804 438504 435065 424067 395425 370383 359043 369101 366741 376672 397774
"20" 310081 325093 317689 314054 299289 300725 290790 288605 282929 280359 280027 253891 240549 275218 296748 300151 303342 399380 420819 426184 424801 426653 411648 416960 408532 415717 417539 416580 418287 414607 422701 418677 426813 419734 433543 437285 430336 428950 417680 418806 424423 428377 438155 434848 423498 395174 369928 358793 368850 366300 376453
"21" 314633 309623 324333 317176 313703 299404 301514 290885 289073 282998 280177 280079 254044 247293 276494 296931 300027 303366 399099 421554 427096 426226 427995 412654 418665 410436 417355 418959 417692 418986 415473 423777 419852 426826 420065 433620 437023 429900 428257 417026 418816 424180 427281 437357 433977 422161 394424 369172 358252 368254 365676
"22" 312760 314094 308708 323783 316809 313901 300060 302650 291027 289293 283006 280003 280177 261271 249490 277494 296901 299889 303293 400442 422835 428854 427479 429094 413907 420332 411707 418415 419543 417730 419235 416008 424436 420223 426619 420025 433220 436337 429215 427451 416429 417881 423314 425738 435720 432019 420233 393154 368099 357351 367052
"23" 320129 312226 313115 308056 323380 316871 314883 300965 303980 291027 289441 283018 279868 286891 264583 251175 277885 296879 299692 304402 402103 424577 430255 428351 430312 414964 417285 412228 418471 418898 417186 418932 415986 424749 421064 426624 420152 433059 436101 429077 427229 415480 416918 422093 423849 433443 429868 418021 392027 367135 355979
"24" 321360 319572 311226 312456 307632 323603 317572 316271 302079 304702 290985 289593 283087 286487 288690 267186 251981 278375 296802 300915 305638 404019 426104 431157 429134 431145 413750 417669 412210 417740 418116 416534 418555 416449 425218 421838 426538 420247 432957 436047 429181 426962 415005 416421 420808 421794 431477 428190 416536 392475 366203
"25" 316871 320824 318655 310533 312028 307902 324642 318584 317917 302680 305379 290957 289874 289681 288662 290119 268422 252892 278640 298004 302253 307481 405888 427043 431879 429552 427863 414247 417956 411933 417391 417715 416277 419699 417718 426277 423135 426976 421021 433574 436931 429328 427563 415500 416367 419784 420423 430338 427446 416165 392414
"26" 321523 316334 319974 317997 310030 312324 309196 326075 319772 318838 303217 306083 290984 296675 292201 290393 290756 269826 253466 279321 299240 304242 308983 407051 427692 432019 429505 429116 415368 418698 412724 418089 418367 418100 421384 419260 427597 424863 427921 422443 435079 438028 430202 429047 416274 416265 419326 419709 430029 427543 416609
"27" 323701 320965 315632 319332 317529 310302 313713 311028 327849 320437 319644 303780 307002 297946 299351 294187 291153 291446 270663 253868 280186 300909 305845 309745 407895 427717 430092 431544 431031 416992 420518 414587 419864 419880 419744 422686 420399 428601 426361 428752 423900 435900 439545 431533 430117 416690 416134 418937 419386 430126 428181
"28" 338857 323114 320270 315117 318840 317683 311564 315618 313224 328847 321002 320509 304512 313770 300311 301422 295094 292020 291819 271100 254531 281361 302354 306662 310273 408173 427134 432262 433543 432766 419060 422709 416849 421324 421542 421409 423972 421717 429784 428229 430047 424601 437309 441444 432700 430933 417203 416244 419132 419505 430968
"29" 344795 338311 322356 319760 314669 319012 318643 313365 317887 314469 329731 321607 321657 311356 315799 302208 302349 296138 292518 292380 271569 255468 282440 303071 307239 310150 409352 428853 433823 434906 434369 420906 424686 418486 423153 423413 423205 425586 423260 431374 430559 431333 426031 439307 443358 433799 431971 417998 416997 419820 420774
"30" 208128 344156 337779 321801 319248 314777 320093 320031 315552 319182 315587 330662 322389 328440 313217 317346 303021 303419 296733 293181 293068 272318 256397 282983 303715 307430 313022 410267 429561 434321 435609 435263 422054 426430 419923 424683 424977 424885 427037 424851 433063 431283 433066 427887 441039 444917 434846 432915 419068 417843 421160
"31" 187104 207749 343492 337309 321294 319270 315904 321620 321708 316783 320331 316741 331883 328855 329857 314672 317980 303956 304041 297148 293988 294064 273039 256766 283397 303968 309239 313577 410544 429486 434451 435962 435832 423051 427804 420861 425728 426247 426248 428216 426255 434147 432502 434721 429329 442279 446205 435597 434042 419944 419061
"32" 165562 186751 207347 342885 336785 321296 320081 317466 323448 322619 317865 321554 318206 338818 329642 330926 315248 318725 304463 304574 297765 294977 294955 273205 257034 283320 304683 309800 313872 410471 429529 434603 436322 436889 423428 428471 421152 426297 426926 427180 429099 426795 435237 433525 435648 429995 442918 446911 436096 434585 420651
"33" 157146 165243 186487 206997 342318 336602 322086 321220 319419 324456 323430 319003 323135 324445 340565 330165 331318 315905 319086 305041 305201 298542 295859 295286 273224 256813 282706 305391 310263 313997 410595 429699 434904 436774 437807 423625 428937 421350 426837 427662 428144 429486 427214 435971 434014 435898 430016 443019 447173 436047 434939
"34" 195746 156811 165036 186203 206625 342110 336854 323255 322655 320491 325350 324296 320477 329116 325815 341895 330197 331762 316196 319375 305684 305922 299193 296173 295447 272759 258845 283437 306030 310569 314295 410813 429975 435239 436885 438343 423477 429223 421352 427201 428259 428247 429921 427614 436514 434032 435830 429851 442977 447232 436212
"35" 301011 195291 156477 164769 185847 206601 342545 337344 324668 323401 321422 326283 325401 326306 330385 326805 342371 330328 331926 316573 319763 306498 306533 299346 296333 295199 271818 259364 283945 306395 310885 314553 411032 430359 435685 437087 438973 423457 429620 421477 427739 428314 428568 430534 428112 436916 434078 435915 429877 443029 447554
"36" 303870 300260 194816 156183 164417 185697 207114 343216 338007 325379 323975 322390 327506 331322 327633 331237 327104 342900 330219 332182 317020 320201 307185 306660 299337 296153 296954 272352 259902 284391 306937 311349 314901 411561 430758 436150 437286 439704 423544 430225 421880 428504 428693 429245 431238 428483 437313 434078 436100 429868 443418
"37" 307705 303120 299532 194420 155835 164320 185986 207875 344186 338226 325961 324557 323651 333175 332313 328564 331384 327437 343081 330803 332560 317634 320573 307350 306656 299030 296872 297380 272774 260301 284924 307481 311829 315078 411772 430814 436210 437161 440132 423305 430581 421908 428822 428603 429219 431184 428212 437086 433548 435742 429766
"38" 291948 306833 302203 298820 193985 155756 164635 186461 208850 344582 338377 326543 325405 329041 333853 332988 328715 331576 327471 342843 331387 333049 318106 320536 307458 306390 300293 297170 297588 273020 260667 285441 308020 311924 315159 411834 430765 436314 437054 440640 423174 430276 422047 429215 428640 429098 431083 427922 436962 433080 435689
"39" 309178 291182 305813 301384 298069 193908 156134 165142 187089 209312 344825 338504 327419 330587 329183 334208 332991 328930 331498 327450 342660 332104 333346 318129 320385 307266 304457 300467 297227 297508 273129 260911 285814 307767 311969 315156 411802 430674 436314 437007 441163 423399 430292 422327 429650 428585 429017 431073 427813 436868 433229
"40" 309691 308308 290331 304897 300582 297736 194394 156709 165789 187355 209656 345042 338832 332552 330819 329145 334143 333056 328905 331466 327407 342484 332714 333350 318037 319932 307423 304465 300325 296890 297287 272996 260938 285721 307323 311765 315019 411660 430448 436255 436765 440809 423543 430246 422388 429762 428317 428754 430914 427541 436833
"41" 312988 308751 307233 289518 304005 300139 297979 195190 157468 166073 187513 210006 345534 343620 332667 330816 328774 333991 332846 328562 331409 327326 342231 332924 333281 317651 319739 307212 304244 299982 296434 296889 272788 260298 285346 306545 311294 314568 411246 430003 435942 436318 440204 423396 429822 422122 429492 427830 428241 430416 427176
"42" 306105 311925 307724 306220 288643 303559 300283 298497 196180 157808 166273 187674 210539 350672 343273 332577 330450 328408 333658 332490 328219 331393 327222 341671 333052 332938 317188 319317 306998 303947 299607 295994 296473 272392 259275 284566 305402 310483 313754 410481 429179 435309 435857 439721 423198 429357 421719 429181 427297 427711 430050
"43" 309775 305073 310870 306717 305208 288034 303783 300724 299228 196641 158035 166512 187958 214324 351051 342867 332123 330064 327883 333313 332185 327968 331302 326807 341061 332924 331014 316595 318827 306597 303640 299240 295541 295754 271950 258225 283786 304260 309665 312974 409772 428583 434387 435139 438835 422593 428467 420950 428570 426422 427075
"44" 307568 308646 304036 309717 305614 304468 287818 304311 301331 299342 196924 158297 166860 191663 214516 351202 342166 331699 329507 327435 333012 331880 327574 330905 326276 340214 333202 330198 315837 318103 306081 303160 298752 294686 294971 271436 257142 282899 303103 308836 312173 409118 427879 433461 434363 437834 421861 427537 420189 427895 425758
"45" 308738 306357 307391 302906 308557 304758 304280 287762 304984 301385 299405 197235 158662 170191 191388 214534 350684 341441 331122 328753 326951 332710 331500 326871 330460 325576 336804 332287 329259 314864 317331 305473 302609 297957 294064 294393 271224 256302 282316 302169 308299 311623 408598 427406 432778 433715 437014 421325 426798 419598 427420
"46" 306206 307405 305020 306132 301651 307600 304227 304285 287825 305130 301255 299384 197788 161931 170118 191000 214194 350173 340525 330682 328074 326492 332303 330856 326134 329717 324852 335843 331203 328124 313805 316408 304758 302337 297447 293734 294165 271348 255854 282074 301659 308194 311002 407982 426703 431900 432861 435986 420626 425923 418978
"47" 309541 304765 305942 303638 304784 300476 306874 303777 304395 287467 304993 301112 299563 201403 161865 169972 190451 213805 349436 339819 330108 327367 325929 331639 330136 325289 328530 323878 334854 329990 326983 312744 315489 303925 301645 296543 293074 293587 271174 255067 281614 301071 307768 310148 407090 425711 430691 431758 434711 419694 424978
"48" 305102 307979 303161 304543 302163 303457 299317 306218 303476 304020 287033 304857 301136 303618 201315 161669 169565 189895 213282 348373 339057 329590 326569 325216 330971 329355 324123 327397 322806 333757 328824 325747 311627 314387 302840 300670 295381 292109 292709 270726 254073 281146 300594 307407 309438 406139 424759 429605 430791 433605 418904
"49" 294796 303380 306156 301629 302946 300834 302288 298167 305744 302776 303556 286485 304895 304835 302077 201091 161194 169160 189260 212208 347238 338258 328880 325567 324382 330117 327318 322910 326269 321653 332669 327600 324573 310552 313277 301834 299795 294279 291246 291970 270373 253887 280546 299995 306899 308561 405147 423752 428439 429744 432714
"50" 290838 293101 301391 304319 299858 301404 299625 301099 296973 304883 301983 302950 286133 308551 303937 300520 200508 160764 168592 188516 211118 346057 337406 328009 324556 323388 328461 326010 321660 325071 320565 331576 326415 323773 309532 312233 300814 298987 293249 290500 291313 269641 253646 279989 299420 306355 307690 404138 422709 427255 428765
"51" 284789 289024 291107 299501 302392 298254 300050 298454 300006 295746 303860 301122 302493 289389 307648 302818 299010 199931 160191 167906 187683 210025 344769 336393 327099 323320 321503 327172 324709 320334 323878 319452 330473 325047 322801 308357 310987 299663 297983 292095 289614 290427 268867 253298 279267 298673 305727 306680 402990 421565 426248
"52" 284969 282841 286986 289111 297467 300695 296777 298717 297334 298748 294340 302759 300369 306001 288105 306557 301540 297367 199159 159305 167156 186843 208889 343261 335226 325912 322514 320272 325988 323401 319008 322682 318374 329568 323722 321922 307279 309821 298612 297106 291040 288691 289551 268097 252857 278484 297913 305086 305706 401908 420500
"53" 286906 282915 280617 284885 286978 295692 299324 295197 297441 296021 297404 292825 301796 303273 304728 286735 305208 300182 295668 198254 158336 166378 185923 207593 341652 333854 322251 321245 319047 324634 321989 317713 321484 317473 328958 322789 321261 306520 309043 297862 296624 289873 287605 288534 267183 252181 277509 296934 304201 304569 400708
"54" 268760 284590 280504 278410 282637 285094 294173 297996 293580 295948 294528 295920 291399 304818 301565 303293 285192 303763 298673 294545 197238 157378 165578 184897 206261 339842 334059 320969 319982 317785 323284 320502 316417 320446 316376 328254 321695 320487 305637 308138 297066 295479 288929 286649 287632 266345 251688 276695 296139 303499 303794
"55" 270553 266502 282004 278132 276111 280588 283225 292778 296779 291940 294303 293009 294455 293808 303100 299745 301666 283615 302185 297171 293278 196052 156392 164591 183728 204681 336031 332475 319614 318697 316523 321912 319103 315337 319402 315399 327669 320749 319784 304942 307370 295911 294450 287996 285826 286747 265535 251237 275895 295356 302701
"56" 269241 268172 264312 279543 275630 273885 278748 281424 291411 295254 290115 292619 291487 296737 292286 301370 297832 299843 281844 300434 295437 291837 194844 155162 163453 182298 204865 334513 331013 318273 317401 315176 320571 318230 314384 318430 314469 327057 319838 319285 304241 306491 294796 293473 287051 284936 285920 264663 250741 275123 294614
"57" 254817 266726 265779 261972 276757 273343 271760 276953 279550 289718 293467 288183 290956 293442 294861 290678 299230 295881 297985 280321 298449 293634 290307 193505 153821 162121 181725 203872 332958 329487 316894 316059 313836 319072 316838 312904 316930 313056 326059 318388 318231 302912 305540 293596 292295 286074 283917 284859 263708 250114 274351
"58" 250011 252237 263881 263247 259274 274198 271181 269561 275168 277534 287875 291595 286251 292613 291614 292902 288575 297058 293687 295823 278629 296500 291777 288742 192203 152482 161322 180733 202796 331163 327779 315452 314537 312139 317434 315273 311343 315303 311512 324820 316855 316653 301494 304450 292334 291091 285018 282797 283832 262636 249290
"59" 240205 247189 249353 261133 260369 256449 271772 268937 267435 273129 275244 285853 289829 287546 290207 289629 290578 286520 294794 291571 293525 277160 294580 289908 287174 190867 151597 160352 179649 201488 329223 325942 313883 312793 310374 315855 313675 309732 313680 310037 323670 315489 315006 300032 303264 291000 289768 283795 281530 282632 261653
