"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000"
"19" 29036 28261 29054 27845 28964 29124 29885 29888 30503 30022 31879 31876 36353 38169 40952 43088 43422 41979 39315 37059 37362 35698 36193 36659 36066 36246 36202 35756 35838 35680 36882 36899 37377 39508 39796 40984 42456 39529 36195 34504 34749 36372 36970 35138 35268 35884 32494 31296 31469 30257 29622
"20" 28172 29482 28209 28963 27894 28937 28910 29648 29698 30487 30145 31726 31871 36449 38120 40967 42943 43466 41967 39238 36996 37514 35638 36485 36950 36243 36119 36419 35859 35983 35748 36894 36904 37413 39640 39987 41270 42698 39682 36103 34781 34963 36687 37350 35525 35689 36363 32942 31609 31735 30585
"21" 29332 28665 29349 28145 28984 27930 28757 28685 29510 29627 30520 30154 31697 31926 36420 38098 40961 42859 43465 41802 39272 37367 37514 35901 36674 37124 36124 36301 36555 36089 36199 35847 36955 37011 37590 39816 40231 41556 42962 39749 36397 35134 35471 37193 37919 36044 36366 36977 33457 32162 32382
"22" 29161 29653 28632 29304 28176 28909 27699 28553 28484 29405 29658 30332 30112 31721 31901 36358 37999 40847 42785 43207 41782 39496 37275 37665 36006 36753 36876 36134 36346 36610 36179 36135 35831 36972 37087 37651 39920 40390 41605 42928 39810 36605 35317 35738 37412 38190 36498 36697 37342 33897 32637
"23" 30197 29319 29585 28545 29302 28104 28747 27509 28365 28410 29439 29892 30283 30115 31642 31880 35929 37901 40752 42603 43174 42053 39283 37360 37767 36055 36585 36877 36193 36391 36728 36100 36077 35804 36963 37086 37755 40049 40393 41539 42977 39914 36781 35459 35929 37606 38452 36800 36951 37589 34163
"24" 30899 30370 29218 29452 28539 29209 28028 28488 27275 28278 28421 29065 29876 30231 30076 31561 31850 35849 37783 40558 42559 43436 41935 39400 37514 37760 35808 36512 36894 36187 36450 36711 36059 36007 35780 36938 37160 37887 40070 40373 41533 43063 40030 36900 35697 36074 37873 38809 36924 37158 37803
"25" 31748 31140 30288 29116 29425 28449 29081 27827 28316 27226 28318 28485 29058 29912 30240 30107 31420 31824 35768 37636 40511 42409 43331 42085 39449 37480 37520 35730 36475 36939 36248 36405 36593 36067 36022 35759 37018 37225 37913 39956 40324 41574 43143 40183 37098 35835 36383 38097 38986 37154 37318
"26" 31902 31767 31014 30220 29154 29384 28394 28919 27641 28252 27213 28159 28471 29101 29943 30222 30053 31431 31806 35664 37593 40639 42270 43431 42081 39367 37251 37527 35700 36475 36936 36205 36345 36549 36048 35998 35809 37077 37206 37827 39948 40363 41675 43185 40257 37234 36115 36666 38226 39179 37292
"27" 31361 31947 31616 30902 30209 29114 29255 28205 28762 27621 28271 27135 28171 28566 29095 29896 30237 30002 31426 31747 35629 37771 40578 42329 43416 42086 39228 37220 37545 35658 36503 36883 36101 36288 36510 36011 36041 35888 37070 37135 37786 40012 40431 41702 43239 40394 37514 36367 36815 38342 39273
"28" 33987 31211 31834 31509 30924 30180 29011 29099 28115 28731 27622 28078 27183 28236 28586 29090 29778 30211 29976 31319 31776 35545 37744 40631 42342 43396 41904 39202 37255 37561 35735 36461 36801 36113 36220 36524 36036 36079 35934 37036 37125 37878 40045 40534 41820 43351 40669 37683 36471 36900 38379
"29" 34855 33399 31092 31786 31521 30909 30073 28833 28947 28072 28739 27550 28094 27210 28257 28561 29100 29793 30208 29917 31317 31962 35530 37812 40597 42303 43184 41910 39254 37255 37590 35735 36413 36752 36059 36217 36579 36063 36092 35891 37001 37177 37981 40179 40634 41876 43619 40800 37803 36606 37042
"30" 30424 35033 33295 30986 31781 31497 30812 29906 28716 28929 28058 28686 27579 28133 27201 28278 28376 29085 29786 30123 29882 31280 31933 35637 37837 40635 42183 43166 41896 39259 37305 37520 35671 36373 36701 36068 36269 36618 36111 36064 35896 37075 37237 38048 40289 40723 42203 43791 40921 37860 36672
"31" 31594 30025 34926 33226 30992 31730 31388 30672 29750 28666 28913 27941 28719 27599 28114 27201 28286 28385 29086 29752 30120 30035 31248 31984 35647 37827 40524 42158 43172 41952 39257 37285 37437 35634 36320 36688 36122 36259 36657 36054 36086 35915 37180 37294 38113 40349 41046 42389 43805 40943 37956
