Total death counts and exposures for Sweden
source: http://www.mortality.org

period age_group deaths exposure
1810-1819 80-84 18943.04 94877.71
1810-1819 85-89 8349.03 30178.16
1810-1819 90-94 2028.36 6107.61
1810-1819 95-99 371.42 896.87
1810-1819 100-104 24.17 28.27
1810-1819 105-109 0 0
1810-1819 110+ 0 0
1820-1829 0 156241 820749.98
1820-1829 1-4 80037.95 2918017.57
1820-1829 5-9 22500.02 2898687.96
1820-1829 10-14 11732.01 2557179.19
1820-1829 15-19 12140.94 2387032.01
1820-1829 20-24 16368 2239898.86
1820-1829 25-29 18415.97 2160750.38
1820-1829 30-34 20531.99 2007263.23
1820-1829 35-39 21440.03 1747985.85
1820-1829 40-44 23830.02 1569650.34
1820-1829 45-49 24115.04 1366007.26
1820-1829 50-54 26709 1176168.24
1820-1829 55-59 29755.02 1021748.58
1820-1829 60-64 37314 872265.8
1820-1829 65-69 39600.08 666559.52
1820-1829 70-74 40639 454201.95
1820-1829 75-79 32200.99 236644.64
1820-1829 80-84 19762.96 102281.41
1820-1829 85-89 7899.99 28702.67
1820-1829 90-94 2294.98 6677.49
1820-1829 95-99 466.99 1091.6
1820-1829 100-104 53.98 66.56
1820-1829 105-109 0 0
1820-1829 110+ 0 0
1830-1839 0 161002 834217.46
1830-1839 1-4 77933.94 3074654.68
1830-1839 5-9 25361.97 3370566.86
1830-1839 10-14 14780.07 3171508.87
1830-1839 15-19 14538.99 2889612.92
1830-1839 20-24 17421.97 2402400.9
1830-1839 25-29 19409 2161428.48
1830-1839 30-34 22806.05 2058823.37
1830-1839 35-39 25514.06 1939458.64
1830-1839 40-44 27705.01 1755900.96
1830-1839 45-49 27620.04 1491244.88
1830-1839 50-54 31162.03 1289697.66
1830-1839 55-59 32846 1066179.34
1830-1839 60-64 36743.06 864469.74
1830-1839 65-69 40471 657584.36
1830-1839 70-74 43695.02 459208.84
1830-1839 75-79 36590.95 260670.98
1830-1839 80-84 24251.95 120300.12
1830-1839 85-89 9979.95 33916.11
1830-1839 90-94 2140.03 5030.74
1830-1839 95-99 243 506.31
1830-1839 100-104 37.03 29.66
1830-1839 105-109 0 0
1830-1839 110+ 0 0
1840-1849 0 155642 891443.16
1840-1849 1-4 77338.93 3222254.21
1840-1849 5-9 26814.03 3480708.59
1840-1849 10-14 14670.94 3336354.36
1840-1849 15-19 15871.98 3322111.76
1840-1849 20-24 19234.04 2999694.78
1840-1849 25-29 18964.04 2600480.3
1840-1849 30-34 19762.03 2218266.53
1840-1849 35-39 21740.97 1947532.56
1840-1849 40-44 24801.04 1818938.92
1840-1849 45-49 26602.96 1673356.33
1840-1849 50-54 30872.02 1468619.72
1840-1849 55-59 32435.06 1185331.91
1840-1849 60-64 37808.08 1005429.38
1840-1849 65-69 41251.03 690984.23
1840-1849 70-74 40330.95 457818.85
1840-1849 75-79 34781.92 259379.27
1840-1849 80-84 23558.99 122239.5
1840-1849 85-89 10336.02 35812.93
1840-1849 90-94 2481.51 6126.55
1840-1849 95-99 340.57 655.02
1840-1849 100-104 12.88 16.77
1840-1849 105-109 0 0
1840-1849 110+ 0 0
1850-1859 0 174061 1041454.71
1850-1859 1-4 108423.08 3597086.39
1850-1859 5-9 42308.98 3808701.79
1850-1859 10-14 19811.03 3526347.09
1850-1859 15-19 18796.92 3401190.01
1850-1859 20-24 21644.04 3134339.23
1850-1859 25-29 23369.02 2988294.4
1850-1859 30-34 26143.06 2769453.48
1850-1859 35-39 26738.03 2380474.23
1850-1859 40-44 26747.03 1984743.98
1850-1859 45-49 27285.06 1694123.03
1850-1859 50-54 31615.95 1523651.13
1850-1859 55-59 36660.01 1344243.89
1850-1859 60-64 42996.97 1109986.31
1850-1859 65-69 44780.01 790295.93
1850-1859 70-74 45673.94 522004.47
1850-1859 75-79 38082.03 290837.88
1850-1859 80-84 22968.03 121746.12
1850-1859 85-89 10165.06 37681.87
1850-1859 90-94 2538.08 5778.8
1850-1859 95-99 229.82 519.57
1850-1859 100-104 24.08 67.28
1850-1859 105-109 3 11.19
1850-1859 110+ 0 0.23
1860-1869 0 178890.35 1183881.55
1860-1869 1-4 126050.59 4167619.55
1860-1869 5-9 39988.96 4469449.69
1860-1869 10-14 16949.64 3931069.45
1860-1869 15-19 16870.2 3613607.21
1860-1869 20-24 20084.63 3296879.09
1860-1869 25-29 20389.88 3062137.03
1860-1869 30-34 21623.91 2882552.31
1860-1869 35-39 24775.71 2750540.36
1860-1869 40-44 27400.35 2529358.06
1860-1869 45-49 27933.44 2128641.65
1860-1869 50-54 29337.95 1715913.91
1860-1869 55-59 32878.83 1397416.89
1860-1869 60-64 39529.75 1162695.78
1860-1869 65-69 47373.46 941215.81
1860-1869 70-74 50525.9 657593.44
1860-1869 75-79 42668.55 353193.99
1860-1869 80-84 28014.58 156637.87
1860-1869 85-89 12582.8 47522.75
1860-1869 90-94 3063.03 8402.7
1860-1869 95-99 415.38 876.93
1860-1869 100-104 31.04 44.64
1860-1869 105-109 1 0.75
1860-1869 110+ 1 0.24
1870-1879 0 173461.63 1190187.47
1870-1879 1-4 105296 4106873.63
1870-1879 5-9 40020 4727320.03
1870-1879 10-14 18953.08 4603946.08
1870-1879 15-19 18627.27 4163374.72
1870-1879 20-24 22066.15 3537278.05
1870-1879 25-29 21882.55 3078019.1
1870-1879 30-34 21745.34 2802350.15
1870-1879 35-39 23642.22 2665649.47
1870-1879 40-44 25835.07 2525940.34
1870-1879 45-49 28362.15 2392881.41
1870-1879 50-54 32810.62 2166140.34
1870-1879 55-59 35865.19 1763824.76
1870-1879 60-64 39475.61 1341926.83
1870-1879 65-69 44245.64 990713.09
1870-1879 70-74 48960.51 699687.88
1870-1879 75-79 47268.73 430284.82
1870-1879 80-84 33309.92 203078.85
1870-1879 85-89 14928.07 59900.11
1870-1879 90-94 3725.01 10687.03
1870-1879 95-99 576.43 1167
1870-1879 100-104 41.02 63.7
1870-1879 105-109 2 1
1870-1879 110+ 0 0
1880-1889 0 152639.59 1254280.04
1880-1889 1-4 101197.48 4475505.51
1880-1889 5-9 39556.43 4995450.46
1880-1889 10-14 18764.31 4548235.09
1880-1889 15-19 19542.87 4317303.57
1880-1889 20-24 23329.17 3955013.67
1880-1889 25-29 21678.28 3399862.08
1880-1889 30-34 20024.87 2951071.99
1880-1889 35-39 20563.22 2697907.08
1880-1889 40-44 22201.73 2504553.79
1880-1889 45-49 24411.7 2373357.54
1880-1889 50-54 28751.73 2220066.96
1880-1889 55-59 35947.44 2044269.75
1880-1889 60-64 44865.54 1762574.62
1880-1889 65-69 50975.61 1319568.72
1880-1889 70-74 53066.03 869047.88
1880-1889 75-79 49706.34 503860.85
1880-1889 80-84 38377.5 245460.28
1880-1889 85-89 20105.01 84695.73
1880-1889 90-94 5979.91 17237.42
1880-1889 95-99 806.32 1627.64
1880-1889 100-104 39.03 67.7
1880-1889 105-109 1 1.49
1880-1889 110+ 0 0
1890-1899 0 136272.58 1244544.87
1890-1899 1-4 80643.41 4559738.27
1890-1899 5-9 32811.86 5352584.23
1890-1899 10-14 18079.98 5027120.14
1890-1899 15-19 20993.23 4530862.92
1890-1899 20-24 23014.38 3732278.76
1890-1899 25-29 21117.3 3331479.67
1890-1899 30-34 21177 3207187.51
1890-1899 35-39 21732.13 2933093.28
1890-1899 40-44 21876.35 2629121.47
1890-1899 45-49 23341.35 2413654.88
1890-1899 50-54 27248.97 2220494.07
1890-1899 55-59 33851.61 2056622.05
1890-1899 60-64 43582.15 1840486.84
1890-1899 65-69 57422.22 1567584.62
1890-1899 70-74 68924.94 1185786.09
1890-1899 75-79 67402.64 710565.38
1890-1899 80-84 49567.36 324072.46
1890-1899 85-89 24861.13 103426.51
1890-1899 90-94 7516.24 20451.05
1890-1899 95-99 1102.22 2147.81
1890-1899 100-104 63.01 82.92
1890-1899 105-109 2 0.98
1890-1899 110+ 0 0
1900-1909 0 119102.67 1291017.41
1900-1909 1-4 59121.44 4744802.1
1900-1909 5-9 23933.28 5583424.53
1900-1909 10-14 17498.82 5327085.63
1900-1909 15-19 23637.06 4966266.53
1900-1909 20-24 26309.28 4314613.79
1900-1909 25-29 23495.13 3777721.16
1900-1909 30-34 20202.88 3274855.71
1900-1909 35-39 20560.06 3013221.65
1900-1909 40-44 22829.12 2933275.36
1900-1909 45-49 24541.17 2682793.93
1900-1909 50-54 27491.31 2377955
1900-1909 55-59 32666.57 2130008.32
1900-1909 60-64 41425.96 1879709.81
1900-1909 65-69 54245.51 1621572.47
1900-1909 70-74 69211.19 1281703.79
1900-1909 75-79 78701.54 876953.97
1900-1909 80-84 67746.6 466094.71
1900-1909 85-89 35470.21 154158.7
1900-1909 90-94 9820.23 28908.59
1900-1909 95-99 1370.01 2783
1900-1909 100-104 84 122
1900-1909 105-109 2 1.33
1900-1909 110+ 0 0
1910-1919 0 88938 1213515
1910-1919 1-4 43822 4760907.33
1910-1919 5-9 20652 5911584.67
1910-1919 10-14 16674 5677020.67
1910-1919 15-19 27024 5304886.17
1910-1919 20-24 33594 4724367.33
1910-1919 25-29 30382 4246003.17
1910-1919 30-34 26736 3839890.33
1910-1919 35-39 23828 3442772.83
1910-1919 40-44 22570 3014001.67
1910-1919 45-49 24015 2778241.33
1910-1919 50-54 29666 2679176.33
1910-1919 55-59 35631 2393445.33
1910-1919 60-64 43702 2036721.33
1910-1919 65-69 56508 1702400.67
1910-1919 70-74 71614 1332030.83
1910-1919 75-79 81929 935107.33
1910-1919 80-84 74584 523739.83
1910-1919 85-89 45825 202343.5
1910-1919 90-94 15380 45621.33
1910-1919 95-99 2350 4718.5
1910-1919 100-104 145 212
1910-1919 105-109 4 3.33
1910-1919 110+ 0 0
1920-1929 0 65890 1069597.5
1920-1929 1-4 24370 4293815.17
1920-1929 5-9 11916 5559982.67
1920-1929 10-14 10916 5707284.67
1920-1929 15-19 19421 5700992.67
1920-1929 20-24 24411 5262614
1920-1929 25-29 21550 4746474.33
1920-1929 30-34 19664 4293947.5
1920-1929 35-39 19333 3933521.5
1920-1929 40-44 20663 3587711.67
1920-1929 45-49 23345 3211280.5
